================================================================================
[inspect] 2026-08-25T15-26-00Z exit=respond iters=7
================================================================================
Query: Read METHOD.md at the repository root and return the complete current method, especially the claim-surface closure, priority order, finding format, coverage threshold, and final deliverable rules.

--- iter 1 ---
ACTION:
{
  "thought": "I\u2019ll read the repository-root METHOD.md to extract the complete current method and cite its line ranges.",
  "tool": "read"
}
OBSERVATION:
ERROR: read requires a `file` argument

--- iter 2 ---
ACTION:
{
  "thought": "I\u2019ll read the repository-root METHOD.md to extract the complete current method and cite its line ranges.",
  "tool": "read",
  "file": "METHOD.md"
}
OBSERVATION:
OK: 1|# AI-Readiness Audit — method
122|Without this, "load-bearing" is whatever the reporter thinks it is. Measured
123|2026-08-24: three arms on one fixture reported 6, 3 and 2 unplanted findings.
124|Part of that spread is three reporters placing an undefined threshold in three
125|different places.
126|
127|**Priority order.** Within what is material, verify in this order:
128|
129|1. **Claims whose failure ends the business** — data that cannot be recovered,
130|   money that cannot be collected, a dependency that can withdraw. In a
131|   physical product this tier is safety-critical mechanism; in a SaaS target
132|   it is recoverability, payment integrity and single points of control.
133|2. **Architectural invariants** — do the stated boundaries hold? Isolation,
134|   redundancy, failover, tier separation, shared state.
135|3. **Operational parameters** — retry intervals, timeouts, monitoring,
136|   retention windows, thresholds affecting day-to-day operation.
137|4. **Micro-claims** — individually low-impact; collectively they establish the
138|   consistency rate, which is the strongest available signal about the claims
139|   nobody had time to check.
140|
141|**The tiers are defined by consequence to the buyer, not by subsystem.** They
142|were first written from a robotics engagement and read as robotics — swept
143|footprints, watchdogs, encoder ticks, PWM — which left tier 1 empty for every
144|SaaS target the product is actually sold to (§1). Restated 2026-08-24 against
145|three engagements: a robot, a chat product, and a SaaS data room. If a tier is
146|empty for a target, say so in the coverage statement rather than silently
147|running a three-tier order.
148|
149|**Why this order and not another:** if the audit is cut short by budget, time
150|or access, the *most expensive unknowns* are resolved first. A buyer reading a
151|partial report covering 1–2 but not 3–4 can still make a decision. The reverse
152|is not true.
153|
154|## 5. Finding format
155|
156|```
157|**Finding N: <short title> — [verdict]**
158|
159|Claim (<source>, e.g. README line 201-202): <the stated claim>
160|
161|Evidence: <file:lines> — <what the code actually does>
162|
163|Delta: <None, or the specific gap>
164|```
165|
166|**A finding must cite its source**, both halves: the document making the
167|claim, and the file and line range showing the implementation. The citation
168|trail is simultaneously the professional standard of care and the defamation
169|defence (§10) — it is not decoration.
170|
171|**A figure must be obtained verbatim, never from a summary.** Tools that
172|read on the auditor's behalf answer in prose, and prose summaries carry
173|qualitative facts reliably and numbers unreliably — observed 2026-08-22: a
174|document read returned "backup failures for 21 days" while silently dropping
175|the last-good-backup date on the very next line of the same document, and
176|with it the arithmetic that made the finding material. Nothing marks the
177|omission; the summary reads complete.
178|
179|**AN ABSENCE NEEDS THE SEARCH, NOT THE CONCLUSION.** "This is not
180|implemented" cannot cite a file and line — the point is that there isn't one.
181|Its evidence is the search. Show two, because each fails where the other
182|holds:
183|
184|- **Lexical, in the claim's own words.** The claim supplies the terms, and
185|  the implementer probably used them too. A claim about detecting frustration
186|  is searched as `frustrat`, not as whatever you would have named the module.
187|- **Structural.** List the directory the thing would live in. A listing
188|  cannot be defeated by a synonym; a grep can.
189|
190|Observed 2026-08-23. A finding that a documented feature was unimplemented
191|grepped the term, showed all ten matches meant something else, and ruled out
192|the event path that could have carried it — correct, and it held up. A second
193|finding asserted no sentiment scorer exist
…(truncated; 39658 chars total, capped at 10000; narrow the line range)

--- iter 3 ---
ACTION:
{
  "thought": "The initial read was truncated at line 193, so I\u2019ll continue through METHOD.md in bounded ranges to capture the complete method.",
  "tool": "read",
  "file": "METHOD.md",
  "start_line": 190,
  "end_line": 400
}
OBSERVATION:
OK: 190|Observed 2026-08-23. A finding that a documented feature was unimplemented
191|grepped the term, showed all ten matches meant something else, and ruled out
192|the event path that could have carried it — correct, and it held up. A second
193|finding asserted no sentiment scorer existed. One did: 136 lines, wired into
194|every customer message. It had been searched for as a module *driving the
195|escalation*, found nothing, and generalised. Different claims; the first true,
196|the second false.
197|
198|An absence is the most valuable thing an audit reports and the easiest to get
199|wrong, because nothing contradicts it until the seller does. And a documented
200|search proves diligence, not absence — a well-recorded search for the wrong
201|word is worse than none, because it reads as rigour.
202|
203|So for any claim resting on a number, date, or threshold: ask for the source
204|line and quote it. A finding built on a remembered figure has the same defect
205|as a finding built on a remembered file — it is the provenance failure §5
206|exists to prevent, wearing a citation it did not earn.
207|
208|### The second shape: a derived finding
209|
210|The format above tests a stated claim. Some of the most material things in a
211|data room are stated by nobody — they follow by arithmetic from two figures
212|the seller supplied separately, in documents that never meet. A retention
213|window and a last-good-backup date sit in different sections of the same
214|file; each is innocuous, and together they carry a date after which the
215|business cannot be restored.
216|
217|That finding has no claim to cite, so the format above has no room for it. It
218|gets its own:
219|
220|```
221|**Finding N: <short title> — [derived]**
222|
223|Basis: <file:lines> — <the first stated figure, verbatim>
224|       <file:lines> — <the second, verbatim>
225|
226|Derivation: <the arithmetic, written out so a reader can check it>
227|
228|Consequence: <what follows, and why a buyer cares>
229|
230|Escalates: <Finding N, or None>
231|```
232|
233|**Four rules, and they are what keep this inside §2.**
234|
235|1. **Only the target's own figures.** Every input is a number, date or
236|   threshold the seller stated, quoted verbatim per the rule above. Deriving
237|   an expiry date from the seller's own retention terms is still auditing
238|   what they told you. Deriving that the market will turn against them is
239|   not, and is not a finding.
240|
241|2. **The derivation is written out, not asserted.** "30-day retention from a
242|   2026-07-30 last-good backup exhausts on 2026-08-29" is checkable in one
243|   line. A consequence whose arithmetic is left implicit is an opinion
244|   wearing a citation, and §5 exists to prevent exactly that.
245|
246|3. **No recommendation inside the finding.** State the consequence and stop.
247|   What the buyer should do about it is the buyer's judgement (§2), and the
248|   report's own recommendation is §9's job.
249|
250|4. **Name what it escalates.** A derived finding frequently sharpens an
251|   ordinary one — the same backup failure, now with a date on it. Say which,
252|   so the report reads as one finding intensified rather than two findings
253|   counted. Where it escalates nothing, say None.
254|
255|**A derived finding that resolves to a date carries that date as its own
256|expiry.** The backup case is the pattern: *"the last recoverable backup ages
257|out on 2026-08-29"* is true when written, catastrophic five days later, and
258|meaningless a month after that. State the date, and state what happens on it.
259|The report as a whole carries an **as-of date for the materials**, because a
260|data room is a snapshot and every conclusion in the report is a conclusion
261|about that snapshot.
262|
263|**Priority.** A derived finding inherits the §4 priority of the facts it
264|rests on, and rises above them when the consequence is more severe than
265|either input. The backup case is the pattern: two operational facts, one
266|consequence a buyer would treat as material.
267|
268|**Why this was missing.** Measured 2026-08-23: three independent arms found
269|every figure needed for a derived finding, and all three declined to state
270|it. One wrote out the setup and stopped before the arithmetic; one said the
271|lines "do not establish" the conclusion; one filed it as `(duplicate)` of the
272|claim it escalated. That is not three models failing. That is three models
273|obeying a format with one shape in it.
274|
275|## 6. Verdict vocabulary
276|
277|| Verdict | Meaning | Buyer impact |
278||---|---|---|
279|| `[real]` | Claim holds; implementation matches spec | None |
280|| `[real, minor caveat]` | Holds; note does not change the decision | Awareness |
281|| `[real, operational caveat]` | Holds today; operational context qualifies it | Awareness + operational planning |
282|| `[partial]` | Mostly true, with a specific citable gap | **Material** — buyer should price the gap |
283|| `[delta]` | Claim is false; the code does not do what the docs say | **Material** — buyer should revalue or walk |
284|| `[unverifiable]` | Could not be verified from available materials | Not a finding — goes in Remaining Claims with the reason |
285|| `[non-delta]` | No claim to verify (code exists, docs make no statement) | Not a finding — noted for completeness |
286|| `[derived]` | Not a claim test — a consequence computed from two or more stated figures (§5's second shape) | **As severe as the consequence.** Frequently material |
287|
288|**`[partial]` vs `[delta]` is a real distinction.** `[partial]` is "the claim
289|is 80% true and here is the 20% that is not, with a citation to the corner
290|case." `[delta]` is "the claim is false; the code does X, the docs say Y,
291|here are both citations." A buyer treats them differently: `[partial]` is a
292|known limitation to price in; `[delta]` is a broken promise that may indicate
293|a pattern.
294|
295|**`[derived]` is not a verdict on a claim, and that is the point.** The other
296|eight say how a stated claim stood up. `[derived]` says the seller's own
297|figures, taken together, entail something neither document states. It carries
298|no claim source because there is no claim — which is why it needs §5's second
299|shape rather than a row in the format above.
300|
301|**`[unverifiable]` must never be reported as `[delta]`.** *"I couldn't find
302|the code"* is not the same as *"the code isn't there."* The former belongs in
303|Remaining Claims; only the latter is a finding.
304|
305|**Every verdict above is exercised.** Measured across three engagements —
306|`[delta]` 35, `[real]` 29, `[partial]` 20, `[derived]` 11, `[real, minor
307|caveat]` 11, `[unverifiable]` 8, `[non-delta]` 5, `[real, operational
308|caveat]` 4. Use the narrowest one that fits.
309|
310|## 7. Correction protocol
311|
312|**The auditor corrects their own findings when subsequent evidence
313|contradicts them. Corrections are noted in the report with a one-line
314|explanation of what changed and why.**
315|
316|This is part of the standard of care, and it is what makes the citation trail
317|trustworthy rather than performative: *if the auditor never corrects, the
318|citations are decoration.*
319|
320|Two corrections were issued during the Body audit — the exfiltration
321|statement (§3), and Finding 4's footprint radius, 0.22 m in the spec against
322|0.11 m deployed.
323|
324|## 8. Two recaps, two audiences
325|
326|**There is no working recap, and there was no channel for one.** This section
327|specified one — plain language, every ~5 findings, for the person watching the
328|audit happen. It was never performable: the audit runs as one engagement with
329|no channel back to the client mid-flight, so every run silently failed a
330|requirement nobody could meet. An unperformable procedure is worse than an
331|absent one; it reads as rigour and produces nothing. Removed 2026-08-24.
332|
333|If a mid-engagement channel is ever built, this comes back — with §12's
334|delta-confirmation step, which was removed for the same reason.
335|
336|**Deliverable recap (executive synthesis)** — in the report. §1
337|(Recommendation) is the 2-minute version, plus a closing paragraph a
338|non-specialist can read and explain back. This is what the PE partner
339|actually reads if they never open the findings table.
340|
341|A PE partner will not read 68 code-cited findings. They read the Gap Map
342|(~30 seconds), the executive summary (~2 minutes), then drill into one or two
343|findings if the recommendation makes them curious.
344|
345|**One audience, then: the reader of the finished document.** Tier the
346|deliverable to that reader.
347|
348|## 9. Report-level recommendation
349|
350|| Recommendation | Meaning |
351||---|---|
352|| **Clear** | No deltas, no caveats of note. The system does what it says. |
353|| **Clear with caveats** | No functional deltas. Documentation drift, maintenance debt or operational notes a buyer should know, which do not change the fundamental valuation. *(Body landed here.)* |
354|| **Conditional** | Deltas found but addressable — fixable in a sprint or two, or the feature is non-critical. Proceed if the seller will fix them or the buyer accepts the gap. |
355|| **Material** | Deltas that significantly change valuation or risk profile. The buyer must price this in explicitly or walk. |
356|| **Walk** | Claims are systematically false, or the codebase is not what the docs describe. |
357|
358|**The audit recommends; the buyer decides.** The audit says "Conditional: the
359|backup system claims 30-day retention but the code enforces 7." The buyer
360|decides whether 7 days is acceptable for their use case. The audit does not
361|say "you should walk."
362|
363|**Keep the two vocabularies separate.** *Clear / Clear with caveats /
364|Conditional / Material / Walk* describes the state of the claims. *Proceed /
365|negotiate / walk* is the 
…(truncated; 11944 chars total, capped at 10000; narrow the line range)

--- iter 4 ---
ACTION:
{
  "thought": "I need the remainder of METHOD.md beyond line 400 to return the complete current method, including coverage threshold and final deliverable rules.",
  "tool": "read",
  "file": "METHOD.md",
  "start_line": 400,
  "end_line": 620
}
OBSERVATION:
OK: 400|
401|**Vector 1 — client sues for sloppy work.** The real risk, and the same one
402|every audit firm carries. Managed by four things:
403|
404|1. **Scope definition in the engagement letter** — "based on the materials
405|   provided; we did not have access to production systems, live databases, or
406|   the source repository." If the defect was in production but not in the
407|   materials, it is not in scope.
408|2. **Professional standard, not perfection** — what a reasonable auditor
409|   would find from the same materials. The citation trail demonstrates the
410|   work was systematic; the correction protocol (§7) demonstrates it was
411|   honest.
412|3. **Limitation of liability clause** — caps damages, excludes
413|   consequential. This makes the risk finite rather than existential.
414|4. **E&O / professional liability insurance**, in place *before* the first
415|   engagement, covering professional negligence in technical due-diligence.
416|
417|**Vector 2 — the target sues for defamation.** Structurally weak, and the
418|report format is what defeats it:
419|
420|- **Truth is an absolute defence.** Every finding cites its source.
421|- **Not a public statement.** A confidential deliverable to one client under
422|  NDA, for a specific transaction. Many jurisdictions recognise a qualified
423|  privilege for exactly this. The target is not the audience.
424|- **Opinion vs. fact.** "The architecture is a single point of failure" is a
425|  technical opinion resting on observable facts. "The seller is a fraud" is an
426|  accusation. Stay in the first register.
427|- **Tortious interference** requires a reasonable expectation of a concluded
428|  contract; in early diligence the target is in negotiations and the client is
429|  free to walk for any reason.
430|
431|**Jurisdiction is unresolved and outside what anyone here can settle.**
432|Defamation law, qualified privilege and the standard for reckless disregard
433|vary by state and country. **This section is a working posture, not legal
434|advice, and needs a lawyer's review before the first paying engagement.**
435|
436|## 11. What this audit does not do
437|
438|- It does not opine on what the code *should* do.
439|- It is not a penetration test.
440|- It is not a code-quality review.
441|- It does not claim coverage it has not earned (§4).
442|- It does not give legal advice (§10).
443|
444|**Nor is it acceptance testing of contracted work.** The *mechanism*
445|generalises cleanly — stated deliverable vs. observed deliverable, with
446|citations, same finding format, same verdict vocabulary. The *business* does
447|not. The client is the person who commissioned the work, so the dynamic is a
448|second opinion rather than a discovery; the prospecting pool is diffuse (every
449|dev shop with a pending delivery); and the repeat economics are weaker (one
450|project, one audit, no ongoing relationship). **This method applies to
451|claims-verification in a transactional context — a buyer evaluating a target
452|they do not own.** Acceptance testing is a different product with a different
453|client relationship.
454|
455|## 12. Running an audit: sequence
456|
457|Launched with `scenarios/audit.yaml` — one scenario for every engagement,
458|with two per-target lines (`world_name`, `external_repo`). Its header carries
459|the operational detail; this section is the method.
460|
461|1. **Receive materials** (data room, repo access, docs). **Confirm scope in
462|   writing.**
463|2. **Enumerate claims, then CLOSE the surface.** Identify the claim surface —
464|   README, specs, marketing, internal docs — and end enumeration by stating
465|   the count after a line reading exactly:
466|
467|   ```
468|   === CLAIM SURFACE ===
469|   <N> claims
470|   ```
471|
472|   The line immediately after the marker carries the count and nothing else:
473|   a number, then the word `claims`. List the surface afterwards if it helps
474|   the client; the count comes first, on its own line, because it is the
475|   number every coverage figure in the report divides by.
476|
477|   Measured 2026-08-24, first exposure, three arms, three readings of a
478|   looser wording: one stated the count, one enumerated the surface and never
479|   counted it, and one quoted the instruction back. All three were defensible
480|   readings of "state the count after the marker", which is why the shape is
481|   now fixed rather than described.
482|
483|   From that point the surface is **frozen**. It is the denominator every
484|   coverage figure in the report is measured against, and a denominator that
485|   moves makes every percentage stated before it mean something else. A claim
486|   met later that was missed here goes in an **addendum** with its own count,
487|   never into the original population.
488|
489|   The marker does two things nothing else can. It fixes **when** enumeration
490|   ended, so the record shows verification followed it rather than running
491|   alongside it. And it fixes **what** the denominator was, so the coverage
492|   statement in the report can be checked against the number the audit
493|   actually committed to.
494|3. **Prioritise** per §4's safety → architecture → operations → micro order.
495|   Verify top N.
496|4. **Work the priority order straight through.** Do not pause for
497|   confirmation; there is no channel to the client mid-engagement. Deltas are
498|   reported in the deliverable, where the client can act on them.
499|5. **Continue to the coverage threshold where the report is defensible** —
500|   §4's "7% is not enough" rule applied in reverse: stop when the consistency
501|   rate and the severity distribution of what remains make the rest low-risk.
502|6. **Write the report.** Apply §7 to any findings that were revised.
503|6b. **Verify the report against its own citations.** Every claim resolves to
504|   a line in the materials, or it does not ship — §5 applied to the finished
505|   deliverable rather than trusted to the author. It catches a claim citing
506|   nothing, not one citing the wrong line convincingly: a floor, not a
507|   guarantee.
508|7. **Deliver. Propose method-file edits (technique only).** The working record
509|   is then copied out and the world destroyed (§14) — both by the practice,
510|   not by you.
511|
512|**There is no independent review, and that is a decision rather than an
513|oversight.** Step 6b is self-review — the author checking its own citations —
514|and the method says plainly it is a floor, not a guarantee. A second reviewer
515|who took no part in the work is what the assurance profession requires for
516|engagements of consequence, and it is not proportionate at this price point.
517|Revisit it before the first engagement where a finding moves real money; a
518|self-reviewed report is the weakest link in §10's defence.
519|
520|## 13. Where the method has been exercised
521|
522|<!-- audience: practice -->
523|
524|- **`measure/fixtures/dataroom/`** — the synthetic `flowmetrics` data room, 9
525|  documents, planted defects with an answer key. Used to validate the
526|  pipeline. Not a real SaaS.
527|- **`/home/bruce/projects/Body`** — a real, Bruce-owned autonomous mobile
528|  robot codebase, used as a second and real data room. 31 findings, zero
529|  deltas, **Clear with caveats**. Not a self-audit: the codebase was built by
530|  Claude/Cursor under Bruce's direction and Jill contributed neither code nor
531|  docs. Jill executed the audit independently — every verification, every
532|  finding, the report.
533|
534|## 14. What carries between audits, and what must not
535|
536|Each audit runs in its own world, which is discarded afterwards. That
537|protects client confidentiality but would also throw away everything learned
538|— so one channel is opened deliberately, and only one.
539|
540|| | example | carries? |
541||---|---|---|
542|| **method** | "a claimed rate may be a publish rate, not a check rate — verify which" | **yes** |
543|| **target** | "flowmetrics' backups had failed for 21 days" | **never** |
544|
545|**The working record is kept. The world is still discarded.**
546|
547|§10's defence against a negligence claim is that *"the citation trail
548|demonstrates the work was systematic"* — and the citation trail in the report
549|covers only what was reported. On a fifty-claim surface producing a dozen
550|findings, the other thirty-eight were examined, held, and left no trace. A
551|negligence claim asks about those. Discarding the world destroyed the only
552|evidence they happened.
553|
554|**Nothing is authored to fix this.** The record already exists as a byproduct
555|of the work:
556|
557|- `memory/reasoning_trace.jsonl` — every action, with the `thought` that
558|  motivated it, every observation returned, iterations and exit reason per leg.
559|- `inspect_traces/*.txt` — one file per evidence request: the query, every
560|  read and search inside it, what each returned, and the answer given back.
561|
562|Together, for a single engagement, on the order of a hundred kilobytes. That is
563|a working paper in the professional sense — what was asked of the materials,
564|what came back, and why the next question followed. Its evidential value comes
565|precisely from being a byproduct: an auditor's own summary of its diligence is
566|the weakest evidence of that diligence, and this is not a summary.
567|
568|**Copied out of the world before the world is destroyed, and retained under
569|the engagement letter.** The copy is made by the harness, not by the auditor —
570|§12 step 7 is the auditor's last step and it does not include this.
571|
572|**This holds client material, and that is a real obligation.** Verbatim lines
573|from the data room are in those traces. §14's discard exists to avoid holding
574|client data; retaining the record reverses that deliberately, in exchange for
575|being able to evidence the work. It brings a retention period,
…(truncated; 12326 chars total, capped at 10000; narrow the line range)

--- iter 5 ---
ACTION:
{
  "thought": "The method continues past line 620; I\u2019ll read the remaining section to capture all current rules before summarizing it.",
  "tool": "read",
  "file": "METHOD.md",
  "start_line": 620,
  "end_line": 760
}
OBSERVATION:
OK: 620|Designed 2026-08-22. Reference implementation:
621|`docs/audit-gap-map-mockup.html` — populated with a real audit as example
622|data, which is why it lives outside `audit/` (§14: target facts do not carry
623|between engagements).
624|
625|**One card, ~680 px wide.** Scan order top to bottom is deliberate: target
626|identity → verdict band → key items → coverage → full-report link. A partner
627|glancing at it in an email gets the verdict in about three seconds, then
628|enough substance to decide whether to open the report.
629|
630|**Verdict band.** The §9 recommendation, colour-coded, immediately under the
631|header. All five levels have a treatment — the band is the first thing that
632|registers, and it is the only place the recommendation appears. Green through
633|red across Clear → Walk.
634|
635|**Key items — three to five, and MIX THEM.** Each item is an icon, a
636|one-line claim, and a two-line note. No `file:line` citations; those live in
637|the report.
638|
639|The non-obvious rule: **when the recommendation is Clear or Clear with
640|caveats, include the positive confirmations, not only the caveats.** The
641|buyer needs to see *what* is clear, not merely that it is — "the
642|safety-critical mechanisms are real implementations, not stubs" is the
643|finding they are paying for, and a list of only caveats misrepresents an
644|audit that mostly passed. Where the recommendation is Material or Walk the
645|balance inverts on its own.
646|
647|**Coverage line.** How many claims were individually verified out of how many
648|identified, and why the remainder is or is not low-risk. This is §4's
649|coverage honesty at artifact scale: the Gap Map is the document most likely
650|to be read *instead of* the report, so silence about coverage does its damage
651|here first.
652|
653|**Footer.** The report link, and the scope disclaimer in small type —
654|"technical claims verification · not a pen-test, not legal advice". That is
655|§2's boundary and §10's liability posture enforced at the artifact level,
656|where a recipient who reads nothing else will still see it.
657|
658|**Deliberately absent: no logo, no pricing, no "book a call".** A lead
659|artifact's job is to make the recipient want the full report. The link is the
660|call to action; anything more converts a professional document into a
661|brochure and forfeits the register the disclaimer just established.
662|
663|**Open:** whether the colour coding survives email-thumbnail scale, PDF
664|export, and the landing page it shares a visual system with. None of these
665|block sending one.
666|
667|## 16. The deliverable
668|
669|Two documents, produced together in the final turn, in this order.
670|
671|**The final turn carries these two documents and nothing else.** No covering
672|note, no "here is what I did this leg", no continuation prose ahead of the
673|report. Anything written before the report *is* the report: it counts against
674|the word budget and it sets the ordering, because it is what the client reads
675|first. A leg that opens by narrating the previous leg has buried its own lede
676|before the first finding.
677|
678|**1. The report.** Aim for 2,000 words or under.
679|
680|- The recommendation, from §9's taxonomy and no other vocabulary.
681|- Findings worst first, each in §5's format, carrying its §6 verdict, the
682|  claim it tests, the document making that claim, and the document that
683|  settles it.
684|- A coverage statement: what was not checked, and why that matters (§4).
685|- What the client should ask the seller before closing.
686|
687|- **The inherent-limitations statement**, after a line reading exactly:
688|
689|  ```
690|  === LIMITATIONS ===
691|  ```
692|
693|  Three lines, always present: the materials examined and their as-of date;
694|  that the seller was **not consulted and has not confirmed the auditor's
695|  reading of their own claims**; and the assurance level (§1a) with the
696|  coverage it rests on. The second is the one most easily forgotten and the
697|  most load-bearing — every finding interprets a claim without its author
698|  present to say what was meant, and a reader who does not know that will
699|  over-read the report.
700|
701|  The marker is load-bearing for the same reason `=== GAP MAP ===` is: a
702|  required element with no handle is a requirement nothing can check, and an
703|  unchecked requirement is one that quietly stops being met.
704|
705|**2. The Gap Map** (§15), after a line reading exactly:
706|
707|```
708|=== GAP MAP ===
709|```
710|
711|The marker is load-bearing and must appear on its own line. It is how a
712|reader — and any harness driving the engagement — separates the two
713|documents, and its absence is the signal that the work is unfinished. An
714|engagement that ends without it has not delivered, whatever the closing
715|paragraph says.
716|
717|**Why both, and why together.** The Gap Map is read in thirty seconds and
718|the report is read only if the Gap Map earns it (§8). Producing the Gap Map
719|alone forfeits the proof; producing the report alone forfeits the reader.
720|Neither is a summary of the other: the report carries citations and the Gap
721|Map carries none.
722|
723|## 17. Positioning and outreach
724|
725|<!-- audience: practice -->
726|
727|**The Gap Map is the lead artifact in cold outreach** — the partner gets it in
728|the email body or as a 30-second PDF. The Gap Map is the hook; the full report
729|is the proof.
730|
731|Kept out of §15 deliberately: an agent writing a deliverable should not be told
732|it is writing a hook. Removals, retractions and the reasoning behind this split
733|live in `audit/METHOD-gap-analysis.md`, not here.


--- iter 6 ---
ACTION:
{
  "thought": "I need the omitted middle ranges to ensure the returned method is complete, especially recommendation, liability, and Gap Map rules.",
  "tool": "read",
  "file": "METHOD.md",
  "start_line": 348,
  "end_line": 400
}
OBSERVATION:
OK: 348|## 9. Report-level recommendation
349|
350|| Recommendation | Meaning |
351||---|---|
352|| **Clear** | No deltas, no caveats of note. The system does what it says. |
353|| **Clear with caveats** | No functional deltas. Documentation drift, maintenance debt or operational notes a buyer should know, which do not change the fundamental valuation. *(Body landed here.)* |
354|| **Conditional** | Deltas found but addressable — fixable in a sprint or two, or the feature is non-critical. Proceed if the seller will fix them or the buyer accepts the gap. |
