================================================================================
[inspect_external] 2026-08-25T21-46-25Z exit=respond iters=5
================================================================================
Query: Read README.md and body_project_spec.md in full with line numbers.

--- iter 1 ---
ACTION:
{
  "thought": "Read README.md first as requested, then body_project_spec.md.",
  "tool": "read",
  "file": "README.md"
}
OBSERVATION:
OK: 1|# Body
51|   - **Raspberry Pi 5 (64-bit):** use the **aarch64 Linux standalone** archive from [eclipse-zenoh/zenoh releases](https://github.com/eclipse-zenoh/zenoh/releases). Unpack so `zenohd` and the bundled `*.so` plugins stay in the **same directory** (the archive layout is flat). Example (adjust `ZV` to match your `eclipse-zenoh` major.minor, e.g. `1.9.0`):
52|
53|```bash
54|ZV=1.9.0
55|curl -sLO "https://github.com/eclipse-zenoh/zenoh/releases/download/${ZV}/zenoh-${ZV}-aarch64-unknown-linux-gnu-standalone.zip"
56|mkdir -p "$HOME/zenoh/${ZV}"
57|unzip -o "zenoh-${ZV}-aarch64-unknown-linux-gnu-standalone.zip" -d "$HOME/zenoh/${ZV}"
58|```
59|
60|2. **Config:** This repo includes [deploy/zenohd-router.json](deploy/zenohd-router.json) — listens on **TCP `0.0.0.0:7447`**.
61|
62|3. **Run** from the directory that contains `zenohd` (foreground; use `tmux` / `systemd` for production). Example if Body lives at `~/Body`:
63|
64|```bash
65|"$HOME/zenoh/1.9.0/zenohd" -c "$HOME/Body/deploy/zenohd-router.json"
66|```
67|
68|To put `zenohd` on your `PATH`, copy **both** `zenohd` and the `libzenoh_plugin_*.so` files into the same target directory (e.g. `$HOME/zenoh/1.9.0` already does), then:
69|
70|```bash
71|export PATH="$HOME/zenoh/1.9.0:$PATH"
72|zenohd -c "$HOME/Body/deploy/zenohd-router.json"
73|```
74|
75|If your `zenohd` build only accepts JSON5 configs, copy `zenohd-router.json` to `zenohd-router.json5` and pass that path.
76|
77|4. **Check:** With `zenohd` running, start `body.launcher` on the Pi; processes should connect to `tcp/127.0.0.1:7447` per [config.json](config.json).
78|
79|## Operation overview
80|
81|```mermaid
82|flowchart LR
83|  subgraph pi [Pi]
84|    R[zenohd]
85|    L[body.launcher]
86|    R --- L
87|  end
88|  subgraph clients [Clients optional]
89|    T[body.teleop]
90|    J[Jill bridge]
91|  end
92|  T --> R
93|  J --> R
94|```
95|
96|1. Start **`zenohd`** on the Pi (or your dev box for all-local tests).
97|2. Start **`body.launcher`** on the Pi (motor, lidar, oakd, watchdog processes).
98|3. Optionally start **`body.teleop`** or a Jill-side bridge so **`body/heartbeat`** and **`body/cmd_vel`** are published. Without heartbeats, the watchdog will treat the robot as not under command and can trigger **`body/emergency_stop`**.
99|
100|## Running the stack (`body.launcher`)
101|
102|On the **Pi** (after `zenohd` is up):
103|
104|```bash
105|cd /path/to/Body
106|export PYTHONPATH="$(pwd)"
107|.venv/bin/python -m body.launcher
108|```
109|
110|Startup order: `watchdog` → `motor_controller` → `lidar_driver` → `oakd_driver`. Logs are prefixed by process name.
111|
112|**Stop:** `Ctrl+C` or `SIGTERM` to the launcher; it sends `SIGTERM` to children, waits, then `SIGKILL` if needed.
113|
114|**Restarts:** If a child exits unexpectedly, the launcher restarts it with exponential backoff (capped at 30 s).
115|
116|**Deploy tip:** If errors reference old line numbers or missing symbols (e.g. `XLinkOut` on DepthAI v3), the Pi’s `~/Body` tree is behind your main repo—`git pull` or rsync the updated `body/` tree, then restart the launcher.
117|
118|**Watchdog:** Until something publishes **`body/heartbeat`** (e.g. `body.teleop`), the watchdog may emit **`body/emergency_stop`** (`heartbeat_timeout`). That is expected; start teleop or another client when you want the stack to see a live operator.
119|
120|## Standalone mode (no Jill)
121|
122|**Standalone** means: Body processes on the Pi, and **you** provide heartbeat and velocity commands using the repo’s teleop client—Cognitive Workbench does not need to run.
123|
124|### On the Pi
125|
126|1. Start `zenohd`.
127|2. Start `body.launcher` as above.
128|
129|### On the same Pi (keyboard / SSH session on robot)
130|
131|```bash
132|cd /path/to/Body
133|export PYTHONPATH="$(pwd)"
134|.venv/bin/python -m body.teleop
135|```
136|
137|Default `config.json` uses `tcp/127.0.0.1:7447`, which matches a local router.
138|
139|### On a laptop / workstation (robot’s router on LAN)
140|
141|Point Zenoh at the Pi:
142|
143|```bash
144|cd /path/to/Body
145|export PYTHONPATH="$(pwd)"
146|export ZENOH_CONNECT=tcp/192.168.1.50:7447
147|.venv/bin/python -m body.teleop
148|```
149|
150|(Replace the address with your Pi’s IP or hostname.)
151|
152|### Teleop REPL
153|
154|| Command | Meaning |
155||---------|---------|
156|| `vel LINEAR [ANGULAR]` | Latch `body/cmd_vel`: linear m/s, angular rad/s (CCW positive). Angular defaults to `0`. |
157|| `stop` | Latch zero velocity. |
158|| `status` | Print last `body/status` JSON (if any). |
159|| `help` | Short help. |
160|| `quit` / `q` | Exit teleop (heartbeat and cmd_vel stop; robot may e-stop if nothing else publishes heartbeat). |
161|
162|Optional flags: `--heartbeat-hz` (default 2), `--cmd-vel-hz` (default 20), `--timeout-ms` (default 500), `--verbose` (print every `body/status`).
163|
164|**Motion authority:** Do **not** run teleop and another publisher (e.g. Jill) both commanding `body/cmd_vel` at the same time; the motor side effectively sees interleaved commands.
165|
166|## Integration expectations (Jill / other agents)
167|
168|Any desktop agent that embodies this robot should:
169|
170|- Publish **`body/heartbeat`** at ≥ **2 Hz** while the robot is expected to accept motion.
171|- Publish **`body/cmd_vel`** often enough to satisfy the message **`timeout_ms`** (default **500 ms** in the spec) while moving or holding speed.
172|- Subscribe to `body/odom`, `body/lidar/scan`, `body/oakd/*`, `body/status`, `body/motor_state`, etc., as needed.
173|
174|After a heartbeat fault, recovery follows **§5.10** in [body_project_spec.md](body_project_spec.md) (heartbeat back and a new `cmd_vel` path as implemented on the Pi).
175|
176|## Smoke check (optional)
177|
178|With the stack running, subscribe to `body/**` with Zenoh tooling (e.g. `zenoh-python` examples) and confirm traffic: `body/odom`, `body/lidar/scan`, `body/oakd/imu`, `body/status`, and—when teleop or Jill is active—`body/heartbeat` and `body/cmd_vel`.
179|
180|## Layout
181|
182|- [body/](body/) — package: `launcher`, drivers, `teleop`, `lib/` (`zenoh_helpers`, `schemas`, `diff_drive`).
183|- [deploy/](deploy/) — optional ops files (e.g. `zenohd-router.json`).
184|
185|## License
186|
187|See [LICENSE](LICENSE).


--- iter 2 ---
ACTION:
{
  "thought": "README.md already read; next read body_project_spec.md in full.",
  "tool": "read",
  "file": "body_project_spec.md"
}
OBSERVATION:
OK: 1|# Body: Robot Body Software Project Specification
2|
3|**Version:** 0.2 draft
4|**Date:** 2026-04-16
5|**Author:** Bruce + Claude (initial spec generation)
6|**Hardware target:** Raspberry Pi 5 (assumed), differential drive chassis
7|**Language:** Python 3.11+
8|**Transport:** Zenoh (pyzenoh)
9|
10|---
11|
12|## 1. Purpose
13|
14|Body is the onboard software stack for a differential-drive robot chassis. It provides sensor acquisition, motor control, and safety supervision as a set of independent communicating processes linked by Zenoh. The desktop agent (Jill, running on the CW workstation) connects to the same Zenoh network and interacts with Body exclusively through published topics. Body has no knowledge of Jill's internals; Jill has no knowledge of Body's process structure. The Zenoh topic schema defined in this document is the contract between them.
15|
16|## 2. Hardware Inventory
17|
18|| Component | Interface | Notes |
19||---|---|---|
20|| Cytron MDD10A dual 10A motor driver | GPIO: 2x PWM + 2x DIR | Channel A = left motor, Channel B = right motor |
21|| Pololu #4752 30:1 gearmotor w/ encoder (x2) | GPIO: 2x quadrature (A/B per motor) | 64 CPR motor shaft, 1920 CPR output shaft. 330 RPM no-load @ 12V. Stall: 14 kg·cm / 5.5A |
22|| LDROBOT STL-19P lidar | USB serial | 360° 2D scan, ~10Hz typical |
23|| OAK-D-Lite | USB3 (DepthAI) | Stereo depth, RGB, onboard IMU (BNO086) |
24|| Raspberry Pi 5 | — | 4-core, 8GB assumed. Runs all Body processes |
25|
26|### GPIO Pin Assignments (provisional, confirm during wiring)
27|
28|| Function | BCM Pin | Notes |
29||---|---|---|
30|| Motor A PWM | 12 | Hardware PWM channel 0 |
31|| Motor A DIR | 5 | HIGH = forward, LOW = reverse (verify with MDD10A datasheet) |
32|| Motor B PWM | 13 | Hardware PWM channel 1 |
33|| Motor B DIR | 6 | Same convention |
34|| Encoder L channel A | 23 | Pull-up enabled |
35|| Encoder L channel B | 24 | Pull-up enabled |
36|| Encoder R channel A | 27 | Pull-up enabled |
37|| Encoder R channel B | 22 | Pull-up enabled |
38|
39|These assignments avoid SPI/I2C/UART pins. Adjust as needed during physical build.
40|
41|## 3. Architecture Overview
42|
43|```
44|┌─────────────────────────────────────────────────────┐
45|│  Raspberry Pi                                       │
46|│                                                     │
47|│  ┌──────────────┐  ┌─────────────┐  ┌───────────┐  │
48|│  │ motor_       │  │ lidar_      │  │ oakd_     │  │
49|│  │ controller   │  │ driver      │  │ driver    │  │
50|│  └──────┬───────┘  └──────┬──────┘  └─────┬─────┘  │
51|│         │                 │               │         │
52|│         └────────┬────────┴───────┬───────┘         │
53|│                  │   Zenoh bus    │                  │
54|│            ┌─────┴─────┐         │                  │
55|│            │ watchdog   │         │                  │
56|│            └─────┬─────┘         │                  │
57|│                  │               │                  │
58|└──────────────────┼───────────────┼──────────────────┘
59|                   │               │
60|              ─────┴───────────────┴───── network
61|                          │
62|              ┌───────────┴───────────┐
63|              │  Desktop workstation  │
64|              │  (Jill / CW)          │
65|              └───────────────────────┘
66|```
67|
68|All inter-process communication, both local (Pi-to-Pi) and remote (Pi-to-desktop), uses the same Zenoh topics. There is no separate local IPC mechanism.
69|
70|### 3.1 Process Inventory
71|
72|| Process | Owns | Publishes | Subscribes |
73||---|---|---|---|
74|| `motor_controller` | MDD10A GPIO, encoder GPIO | `body/odom`, `body/motor_state` | `body/cmd_vel`, `body/cmd_direct` |
75|| `lidar_driver` | STL-19P USB | `body/lidar/scan` | — |
76|| `oakd_driver` | OAK-D-Lite USB | `body/oakd/depth`, `body/oakd/imu`, `body/oakd/rgb` (optional) | `body/oakd/config` (optional) |
77|| `watchdog` | safety authority | `body/status` | `body/heartbeat`, all `body/*` for monitoring |
78|| `launcher` | process lifecycle | — | — |
79|
80|### 3.2 Design Principles
81|
82|- Each process is a standalone Python script with its own `main()` and Zenoh session.
83|- No shared memory, no threading across process boundaries.
84|- Processes do not import each other. The Zenoh topic schema is the only coupling.
85|- Every process logs to stdout. The launcher captures and tags output.
86|- Every process handles SIGTERM gracefully: releases hardware, closes Zenoh session, exits.
87|- Motor output defaults to zero (stopped) on startup and on any error.
88|
89|## 4. Zenoh Configuration
90|
91|### 4.1 Transport
92|
93|Body processes use Zenoh in **peer mode** for local communication. The desktop agent connects via Zenoh **router mode** or direct peer over TCP.
94|
95|Recommended: run a `zenohd` router on the Pi that both local processes and the remote desktop connect to. This simplifies discovery and avoids multicast issues over wifi.
96|
97|```
98|# /etc/zenoh/config.json (Pi router)
99|{
100|  "mode": "router",
101|  "listen": {
102|    "endpoints": ["tcp/0.0.0.0:7447"]
103|  }
104|}
105|```
106|
107|Each Body process connects as a peer to `tcp/localhost:7447`. The desktop agent connects to `tcp://<pi-ip>:7447`.
108|
109|### 4.2 Key Expression Namespace
110|
111|All Body topics live under the `body/` prefix.
112|
113|```
114|body/
115|  cmd_vel            # commanded twist velocity (from Jill)
116|  cmd_direct         # direct wheel velocities (from Jill, low-level override)
117|  heartbeat          # periodic heartbeat from Jill
118|  odom               # encoder-derived odometry
119|  motor_state        # motor driver status
120|  lidar/
121|    scan             # 2D laser scan
122|  oakd/
123|    depth            # depth frame or point cloud
124|    imu              # IMU readings
125|    rgb              # color frame (optional, high bandwidth)
126|    config           # runtime pipeline reconfiguration (optional)
127|  status             # system-level health from watchdog
128|  emergency_stop     # published by watchdog on safety violation
129|```
130|
131|## 5. Message Schemas
132|
133|All messages are JSON-encoded UTF-8 strings published as Zenoh values. Timestamps are Unix epoch float (seconds with microsecond precision). All spatial units are SI: meters, radians, meters/second, radians/second.
134|
135|### 5.1 `body/cmd_vel` (Jill → motor_controller)
136|
137|Twist command in robot body frame. Linear is forward/back, angular is rotation (positive = counterclockwise viewed from above).
138|
139|```json
140|{
141|  "ts": 1713264000.123456,
142|  "linear": 0.2,
143|  "angular": 0.0,
144|  "timeout_ms": 500
145|}
146|```
147|
148|- `linear`: m/s, positive = forward. Clamped by motor_controller to hardware limits.
149|- `angular`: rad/s, positive = CCW.
150|- `timeout_ms`: if no new `cmd_vel` arrives within this window, motor_controller sets output to zero. Safety backstop independent of watchdog.
151|
152|### 5.2 `body/cmd_direct` (Jill → motor_controller)
153|
154|Direct wheel velocity command. Bypasses twist-to-differential math. For calibration and testing.
155|
156|```json
157|{
158|  "ts": 1713264000.123456,
159|  "left": 0.15,
160|  "right": 0.15,
161|  "timeout_ms": 500
162|}
163|```
164|
165|- `left`, `right`: m/s at wheel surface. Sign convention: positive = forward.
166|
167|### 5.3 `body/odom` (motor_controller → Jill)
168|
169|Dead-reckoned pose from encoder integration. Frame: robot starting position at origin, x-forward, y-left, theta CCW from x.
170|
171|```json
172|{
173|  "ts": 1713264000.123456,
174|  "x": 0.0,
175|  "y": 0.0,
176|  "theta": 0.0,
177|  "vx": 0.0,
178|  "vtheta": 0.0,
179|  "left_ticks": 0,
180|  "right_ticks": 0,
181|  "dt_ms": 20
182|}
183|```
184|
185|- `x`, `y`: meters from origin.
186|- `theta`: radians, normalized to [-π, π].
187|- `vx`, `vtheta`: instantaneous velocity estimates.
188|- `left_ticks`, `right_ticks`: raw cumulative encoder counts. Allows Jill to do her own integration if desired.
189|- `dt_ms`: time since last odom publication.
190|
191|### 5.4 `body/motor_state` (motor_controller → all)
192|
193|```json
194|{
195|  "ts": 1713264000.123456,
196|  "left_pwm": 0.0,
197|  "right_pwm": 0.0,
198|  "left_dir": "fwd",
199|  "right_dir": "fwd",
200|  "e_stop_active": false,
201|  "cmd_timeout_active": false
202|}
203|```
204|
205|- PWM values are duty cycle 0.0–1.0.
206|- `e_stop_active`: true if watchdog has triggered emergency stop.
207|- `cmd_timeout_active`: true if no `cmd_vel`/`cmd_direct` received within timeout window.
208|
209|### 5.5 `body/lidar/scan` (lidar_driver → Jill)
210|
211|```json
212|{
213|  "ts": 1713264000.123456,
214|  "angle_min": 0.0,
215|  "angle_max": 6.2832,
216|  "angle_increment": 0.01745,
217|  "range_min": 0.05,
218|  "range_max": 12.0,
219|  "ranges": [1.2, 1.3, 1.1, "..."],
220|  "intensities": [200, 195, 210, "..."],
221|  "scan_time_ms": 100
222|}
223|```
224|
225|- Angles in radians. 0 = forward, increasing CCW.
226|- Invalid/out-of-range readings: `null` in the array.
227|- `intensities`: included if the STL-19P provides them, omit field otherwise.
228|
229|### 5.6 `body/oakd/imu` (oakd_driver → Jill)
230|
231|```json
232|{
233|  "ts": 1713264000.123456,
234|  "accel": {"x": 0.0, "y": 0.0, "z": 9.81},
235|  "gyro": {"x": 0.0, "y": 0.0, "z": 0.0},
236|  "mag": {"x": 0.0, "y": 0.0, "z": 0.0},
237|  "orientation": {"w": 1.0, "x": 0.0, "y": 0.0, "z": 0.0}
238|}
239|```
240|
241|- `accel`: m/s², sensor frame.
242|- `gyro`: rad/s.
243|- `mag`: if available from BNO086, omit if not configured.
244|- `orientation`: quaternion from BNO086 onboard fusion, if available.
245|
246|### 5.7 `body/oakd/depth` (oakd_driver → Jill)
247|
248|**TBD.** This is the highest-bandwidth topic and the one most likely to need a non-JSON encoding or compression strategy. Options include publishing a downsampled depth map as a flat array, publishing only a local obstacle summary, or using 
…(truncated; 23378 chars total, capped at 10000; narrow the line range)

--- iter 3 ---
ACTION:
{
  "thought": "body_project_spec.md was truncated after ~5.7; continue reading from that section onward.",
  "tool": "read",
  "file": "body_project_spec.md",
  "start_line": 247
}
OBSERVATION:
OK: 247|
248|**TBD.** This is the highest-bandwidth topic and the one most likely to need a non-JSON encoding or compression strategy. Options include publishing a downsampled depth map as a flat array, publishing only a local obstacle summary, or using Zenoh's raw bytes mode with a compact binary format. Defer detailed schema until the OAK-D pipeline design is done. For the initial skeleton, publish a placeholder.
249|
250|### 5.8 `body/heartbeat` (Jill → watchdog)
251|
252|```json
253|{
254|  "ts": 1713264000.123456,
255|  "seq": 42
256|}
257|```
258|
259|Jill publishes at 2 Hz minimum. Watchdog triggers safety stop if no heartbeat received for `HEARTBEAT_TIMEOUT_MS` (default 2000ms).
260|
261|### 5.9 `body/status` (watchdog → Jill)
262|
263|```json
264|{
265|  "ts": 1713264000.123456,
266|  "processes": {
267|    "motor_controller": "ok",
268|    "lidar_driver": "ok",
269|    "oakd_driver": "ok"
270|  },
271|  "heartbeat_ok": true,
272|  "e_stop_active": false,
273|  "uptime_s": 123.4
274|}
275|```
276|
277|- Process state: `"ok"`, `"missing"`, `"restarting"`.
278|- Published at 1 Hz.
279|
280|### 5.10 `body/emergency_stop` (watchdog → motor_controller)
281|
282|```json
283|{
284|  "ts": 1713264000.123456,
285|  "reason": "heartbeat_timeout",
286|  "source": "watchdog"
287|}
288|```
289|
290|Motor controller immediately sets PWM to zero on receipt. Latched: motor output stays at zero until a new `cmd_vel` is received AND `e_stop_active` is cleared by the watchdog (which requires heartbeat recovery).
291|
292|## 6. Process Specifications
293|
294|### 6.1 `motor_controller`
295|
296|**Responsibility:** Translate velocity commands into PWM output. Read encoders. Publish odometry.
297|
298|**Hardware ownership:** MDD10A (4 GPIO pins), encoder inputs (4 GPIO pins).
299|
300|**Loop structure:**
301|- Main loop at 50 Hz (20ms cycle).
302|- Each cycle: read encoders → compute odometry → check for cmd timeout → compute PWM from latest command → write GPIO → publish odom and motor_state.
303|- Zenoh subscription callback for `cmd_vel`, `cmd_direct`, `emergency_stop` sets shared state variables (protected by a simple lock since callbacks run on Zenoh's internal thread).
304|
305|**Differential drive math:**
306|```
307|wheel_base = W  (meters, measured)
308|wheel_radius = R  (meters, measured)
309|
310|From cmd_vel (linear v, angular ω):
311|  v_left  = v - (ω * W / 2)
312|  v_right = v + (ω * W / 2)
313|
314|PWM mapping:
315|  pwm = clamp(velocity / max_wheel_velocity, -1.0, 1.0)
316|  direction = "fwd" if pwm >= 0 else "rev"
317|  duty_cycle = abs(pwm)
318|```
319|
320|**Odometry integration:**
321|```
322|From encoder ticks since last cycle:
323|  d_left  = left_ticks * (2π * R / ticks_per_revolution)
324|  d_right = right_ticks * (2π * R / ticks_per_revolution)
325|  d_center = (d_left + d_right) / 2
326|  d_theta  = (d_right - d_left) / W
327|
328|  x     += d_center * cos(theta + d_theta/2)
329|  y     += d_center * sin(theta + d_theta/2)
330|  theta += d_theta
331|```
332|
333|**Configuration (constants at top of file, move to config file later):**
334|```
335|WHEEL_BASE_M = 0.0         # measure during build
336|WHEEL_RADIUS_M = 0.0       # measure during build
337|TICKS_PER_REV = 1920        # Pololu 4752: 64 CPR × 30:1 gear ratio
338|MAX_WHEEL_VEL_MS = 0.0     # determine experimentally (330 RPM no-load × wheel circumference)
339|LOOP_HZ = 50
340|CMD_TIMEOUT_MS = 500
341|PWM_FREQUENCY_HZ = 1000
342|```
343|
344|**Encoder counting (software, initial implementation):**
345|Uses `lgpio` edge callbacks on both A and B channels per motor for quadrature decoding. At full speed (330 RPM), edge rate is ~10.5 kHz per motor. Python callback overhead may cause missed counts at high speeds. Acceptable for initial development at typical indoor speeds (50–150 RPM, ~1.6–4.8 kHz). Monitor odometry drift under load as a health indicator.
346|
347|**Known upgrade path:** If software counting proves lossy, add a Raspberry Pi Pico as a dedicated encoder counter (and optionally PWM driver). The Pico communicates cumulative tick counts to the Pi over USB serial. The motor_controller process swaps GPIO reads for serial reads; the Zenoh interface does not change. Chassis design should reserve physical space for a Pico on the compute layer.
348|
349|**Stub deliverable:** A Python script that connects to Zenoh, subscribes to `cmd_vel` and `cmd_direct`, prints received commands, publishes synthetic odom at 50 Hz with incrementing timestamps and zero motion, publishes motor_state. No GPIO access.
350|
351|### 6.2 `lidar_driver`
352|
353|**Responsibility:** Acquire scans from STL-19P, publish to Zenoh.
354|
355|**Hardware ownership:** USB serial port (typically `/dev/ttyUSB0`).
356|
357|**Loop structure:**
358|- Blocking read on serial port to accumulate a complete 360° scan.
359|- Parse ranges and (if available) intensities.
360|- Publish to `body/lidar/scan`.
361|- The STL-19P drives the loop rate (~10 Hz). No sleep needed.
362|
363|**Configuration:**
364|```
365|SERIAL_PORT = "/dev/ttyUSB0"
366|BAUD_RATE = 230400           # verify against STL-19P datasheet
367|```
368|
369|**Stub deliverable:** A Python script that connects to Zenoh, publishes a synthetic scan at 10 Hz with plausible ranges (e.g., constant 2.0m in all directions). No serial access.
370|
371|### 6.3 `oakd_driver`
372|
373|**Responsibility:** Configure and run DepthAI pipeline on OAK-D-Lite, publish IMU and depth to Zenoh.
374|
375|**Hardware ownership:** OAK-D-Lite USB3.
376|
377|**Loop structure:**
378|- Build DepthAI pipeline on startup (depth + IMU nodes, optionally RGB).
379|- Main loop calls `device.getOutputQueue().get()` for each enabled stream.
380|- Repackage into Zenoh messages and publish.
381|- IMU at ~100 Hz, depth at ~15-30 Hz depending on resolution config.
382|
383|**Configuration:**
384|```
385|DEPTH_RESOLUTION = "400p"     # 640x400 stereo
386|DEPTH_FPS = 15
387|IMU_ENABLED = True
388|RGB_ENABLED = False           # keep off unless needed, saves bandwidth
389|```
390|
391|**Stub deliverable:** A Python script that connects to Zenoh, publishes synthetic IMU data at 100 Hz (gravity vector only) and a placeholder depth message at 15 Hz. No DepthAI access.
392|
393|### 6.4 `watchdog`
394|
395|**Responsibility:** Monitor system health, enforce safety stops.
396|
397|**Behavior:**
398|- Subscribes to `body/heartbeat`. If no message received within `HEARTBEAT_TIMEOUT_MS`, publishes `body/emergency_stop` with reason `heartbeat_timeout`.
399|- Periodically checks that all expected Zenoh topics are being published. If a process appears dead (no publications for `PROCESS_TIMEOUT_MS`), updates `body/status` accordingly.
400|- On emergency stop: publishes `body/emergency_stop`. Clears stop condition only when heartbeat resumes AND Jill sends a new `cmd_vel` (explicit re-engagement, not automatic).
401|- Publishes `body/status` at 1 Hz.
402|
403|**Configuration:**
404|```
405|HEARTBEAT_TIMEOUT_MS = 2000
406|PROCESS_TIMEOUT_MS = 5000
407|STATUS_PUBLISH_HZ = 1
408|MONITORED_TOPICS = [
409|    "body/odom",
410|    "body/lidar/scan",
411|    "body/oakd/imu"
412|]
413|```
414|
415|**Stub deliverable:** A Python script that connects to Zenoh, subscribes to `body/heartbeat`, publishes `body/status` at 1 Hz. Implements the heartbeat timeout logic. Publishes `body/emergency_stop` when heartbeat is lost. No dependency on other Body processes running.
416|
417|### 6.5 `launcher`
418|
419|**Responsibility:** Start all Body processes, monitor them, restart on crash, provide orderly shutdown.
420|
421|**Behavior:**
422|- Reads a process list from a config file or hardcoded list.
423|- Starts each process as a subprocess.
424|- Captures stdout/stderr with process-name prefixes.
425|- Monitors subprocess health. On unexpected exit, restarts with backoff (1s, 2s, 4s, max 30s).
426|- On SIGTERM/SIGINT: sends SIGTERM to all children, waits up to 5s, then SIGKILL.
427|
428|**Process list (default):**
429|```
430|PROCESSES = [
431|    {"name": "watchdog",         "cmd": ["python3", "watchdog.py"]},
432|    {"name": "motor_controller", "cmd": ["python3", "motor_controller.py"]},
433|    {"name": "lidar_driver",     "cmd": ["python3", "lidar_driver.py"]},
434|    {"name": "oakd_driver",      "cmd": ["python3", "oakd_driver.py"]},
435|]
436|```
437|
438|Watchdog starts first. Motor controller before sensors (so it's listening for emergency stop before anything else is live).
439|
440|**Stub deliverable:** Fully functional launcher. This is not a stub — the launcher itself is hardware-independent and can be implemented completely in the first pass.
441|
442|## 7. Project Structure
443|
444|```
445|body/
446|  README.md
447|  config.json              # zenoh connection, hardware params
448|  launcher.py
449|  watchdog.py
450|  motor_controller.py
451|  lidar_driver.py
452|  oakd_driver.py
453|  lib/
454|    zenoh_helpers.py       # session setup, common publish/subscribe patterns
455|    schemas.py             # message construction/validation helpers
456|    diff_drive.py          # kinematic math (twist↔wheel, odometry integration)
457|  requirements.txt         # zenoh, gpiozero, depthai, pyserial
458|```
459|
460|## 8. Desktop-Side Assumptions
461|
462|The following assumptions apply to the desktop agent (Jill / CW) and are **out of scope** for this project but must be satisfied for the system to function:
463|
464|1. **Zenoh connectivity.** The desktop must connect to the Zenoh router running on the Pi at `tcp://<pi-ip>:7447`. This may require a new Zenoh session configuration in the CW infrastructure or a new "robot" tool/skill that manages the connection.
465|
466|2. **Heartbeat publication.** Jill (or a CW-side robot interface module) must publish `body/heartbeat` at ≥2 Hz whenever she expects the robot to be active. If she stops publishing, the robot stops moving. This is by design.
467|
468|3. **Command publication.** Jill publishes `body/cmd_vel` to drive the robot. She is respons
…(truncated; 13628 chars total, capped at 10000; narrow the line range)

--- iter 4 ---
ACTION:
{
  "thought": "Continue body_project_spec.md from the truncated \u00a78 command-publication paragraph.",
  "tool": "read",
  "file": "body_project_spec.md",
  "start_line": 468
}
OBSERVATION:
